Word;Score
xem;+0.9325
click;+0.7775
khuyến_mãi;+0.6665
nhu_cầu;+0.5724
hot;+0.5597
lo_lắng;+0.5516
bên;+0.5417
điều_hoà;+0.5159
ngàn;+0.5062
dấu;+0.4883
hai;+0.4883
giúp;+0.4729
cảm_thấy;+0.4689
bảo_vệ;+0.4616
này;+0.4599
đau;+0.4545
cứ;+0.4530
tức;+0.4465
bảng;+0.4400
chỗ;+0.4351
chị;+0.4306
bà;+0.4167
ngực;+0.4167
thông;+0.4155
vậy;+0.4084
ảnh_hưởng;+0.3992
rồi;+0.3961
gọn_nhẹ;+0.3948
còn;+0.3723
đang;+0.3658
công_sở;+0.3648
mẹ;+0.3601
giải_pháp;+0.3601
tiện;+0.3487
14h;+0.3411
mấy;+0.3233
đạt;+0.3192
chưa;+0.3185
như;+0.3146
ấn_tượng;+0.3140
77;+0.3121
native;+0.3121
thứ;+0.3063
tương_lai;+0.3056
điều_khiển;+0.3056
mất;+0.3033
sốc;+0.3033
tiện_lợi;+0.3027
cực;+0.3001
yêu;+0.3001
bắt_đầu;+0.2923
thành_thạo;+0.2909
